room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude,location,year_modified,month_modified
13220202,1480,73826302,shared room,lisbon,arroios,27,4.5,3,1.0,14.0,fly to lisbon hostel 3 mixed bed dorm,2017-07-28 01:19:31.083855,38.728488,-9.142226,0101000020e61000002448a5d8d14822c0a4c343183f5d4340,2017,7
1365083,1480,6401752,shared room,lisbon,areeiro,57,4.5,4,1.0,18.0,mini hostel in lisbon room for 4 guests,2017-07-28 01:19:31.081064,38.73816,-9.135948,0101000020e6100000c9e9ebf99a4522c0919be1067c5e4340,2017,7
17786215,1480,103885214,shared room,lisbon,santa maria maior,3,4.5,1,1.0,23.0,lisboa tu eu hostel vii,2017-07-28 01:19:31.077707,38.709214,-9.132709,0101000020e61000000dc51d6ff24322c0c4ee3b86c75a4340,2017,7
19732954,1480,114630827,shared room,lisbon,benfica,3,5.0,2,1.0,27.0,lisboa cheap room,2017-07-28 01:19:31.074575,38.752129,-9.203271,0101000020e61000005073f222136822c0c4af58c345604340,2017,7
7737202,1480,40574313,shared room,lisbon,avenidas novas,46,4.5,4,1.0,22.0,lisbon forever hostel 4 beds dorm,2017-07-28 01:19:31.072255,38.734299,-9.154355,0101000020e6100000bbf2599e074f22c0253e7782fd5d4340,2017,7
17497074,1480,25913998,shared room,lisbon,arroios,10,5.0,1,1.0,18.0,room gani bairro alto one,2017-07-28 01:19:31.069716,38.724873,-9.133903,0101000020e61000002eac1bef8e4422c0706072a3c85c4340,2017,7
12299998,1480,66077974,shared room,lisbon,arroios,57,5.0,1,1.0,21.0,be lisbon hostel,2017-07-28 01:19:31.067001,38.732296,-9.139787,0101000020e6100000d9cf6229924722c0ed7e15e0bb5d4340,2017,7
6462105,1480,20947228,entire home/apt,lisbon,misericórdia,46,5.0,6,2.0,143.0,bairro alto chiado trendy,2017-07-28 01:13:24.222381,38.711855,-9.14411,0101000020e6100000990d32c9c84922c03e3f8c101e5b4340,2017,7
698988,1480,1277626,entire home/apt,lisbon,santa maria maior,149,4.5,7,3.0,131.0,3lx lowcost apartments baixa chiado,2017-07-28 01:13:22.640640,38.711727,-9.138926,0101000020e6100000d120054f214722c01157cede195b4340,2017,7
7998779,1480,40631231,entire home/apt,lisbon,santa maria maior,21,5.0,6,2.0,113.0,breathing lisbon apartments muralha apartment,2017-07-28 01:12:31.197092,38.712683,-9.132237,0101000020e61000006ea46c91b44322c024b55032395b4340,2017,7
